Designator,Mid X,Mid Y,Rotation,Layer
Brd1,40.34,-13.95,0.0,top
C1,21.25,-18.25,180.0,bottom
C2,51.0,-4.0,270.0,bottom
D1,17.06,-30.225,0.0,bottom
D10,71.06,-30.225,0.0,bottom
D11,71.06,-47.225,0.0,bottom
D12,71.06,-64.225,0.0,bottom
D13,71.06,-81.225,0.0,bottom
D14,53.06,-81.225,0.0,bottom
D15,35.06,-81.225,0.0,bottom
D16,17.06,-81.225,0.0,bottom
D19,18.55,-22.15,0.0,top
D2,35.06,-30.225,0.0,bottom
D20,65.25,-22.5,0.0,top
D3,53.06,-30.225,0.0,bottom
D4,17.06,-47.225,0.0,bottom
D5,35.06,-47.225,0.0,bottom
D6,53.06,-47.225,0.0,bottom
D7,17.06,-64.225,0.0,bottom
D8,35.06,-64.225,0.0,bottom
D9,53.06,-64.225,0.0,bottom
R1,41.5,-8.94,90.0,bottom
R2,44.25,-9.0,90.0,bottom
SW1,13.25,-38.75,0.0,top
SW10,67.25,-38.75,0.0,top
SW11,67.25,-55.75,0.0,top
SW12,67.25,-72.75,0.0,top
SW13,67.25,-89.75,0.0,top
SW14,49.25,-89.75,0.0,top
SW15,31.25,-89.75,0.0,top
SW16,13.25,-89.75,0.0,top
SW2,31.25,-38.75,0.0,top
SW3,49.25,-38.75,0.0,top
SW4,13.25,-55.75,0.0,top
SW5,31.25,-55.75,0.0,top
SW6,49.25,-55.75,0.0,top
SW7,13.25,-72.75,0.0,top
SW8,31.25,-72.75,0.0,top
SW9,49.25,-72.75,0.0,top
U2,63.625,-10.46,0.0,bottom
